"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"653",681,66,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"654",682,29,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[18,30)"
"655",683,60,"Female","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"656",684,60,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"657",686,61,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"658",688,46,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"659",689,42,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"660",690,35,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"661",692,36,"Female","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"662",693,51,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"663",694,64,"Female","High School","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"664",695,56,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"665",696,40,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"666",697,54,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"667",698,40,"Female","Below High School","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"668",699,58,"Male","High School","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"669",700,60,"Male","Graduate Degree","Another party (specify)",0,0,0,0,0,0,1,0,"[50,65)"
"670",701,55,"Male","High School","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"671",702,66,"Female","High School","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"672",703,76,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
